fk_schema,fk_table,constraint_name,fk_column,pk_schema,pk_table,pk_column,key_ordinal
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_estados_prestaciones_episodios,id_estado_prestacion_episodio,sch_facturador,tm_estados_prestaciones_episodios,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_id_prestacion_ref,id_prestacion_ref,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_id_tipo_norma_doc,id_tipo_norma_documento,sch_convenios,tm_tipos_normas_documentos,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_metodos_registro,id_metodo_registro,sch_facturador,t_metodos_registro,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_prestaciones,id_prestacion,sch_facturador,t_prestaciones,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_servicios,id_servicio,sch_convenios,tm_servicios,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_tipo_motivo,id_tipo_motivo,sch_facturador,tm_tipos_motivos,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_tipos_autorizaciones,id_tipo_autorizacion,sch_facturador,tm_tipos_autorizaciones,id,1
sch_facturador,t_prestaciones_episodios_generales_estados,fk_prestaciones_episodios_generales_estados_estados,id_estado_prestacion_episodio,sch_facturador,tm_estados_prestaciones_episodios,id,1
sch_facturador,t_prestaciones_episodios_generales_estados,fk_prestaciones_episodios_generales_estados_prestaciones,id_prestacion_episodio,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_prestaciones_episodios_homologadas,fk_prest_epis_hom_id_prestacion_episodio_padre,id_prestacion_episodio_padre,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_prestaciones_episodios_homologadas,fk_prestaciones_episodios_homologadas_prestacion_catalogo,id_prestacion_catalogo,sch_convenios,t_prestaciones_catalogos,id,1
sch_facturador,t_prestaciones_episodios_homologadas,fk_prestaciones_episodios_homologados_tipos_autorizaciones,id_tipo_autorizacion,sch_facturador,tm_tipos_autorizaciones,id,1
sch_facturador,t_prestaciones_episodios_homologadas,fk_prestaciones_homologadas_episodios_homologados,id_episodio_homologado,sch_facturador,t_episodios_homologados,id,1
sch_facturador,t_prestaciones_episodios_homologadas,fk_prestaciones_homologadas_prestaciones_episodios,id_prestacion_episodio,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_catalogo,id_catalogo,sch_convenios,t_catalogos,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_convenio,id_convenio,sch_convenios,t_convenios,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_convenio_plan,id_convenio_plan,sch_convenios,t_convenios_planes,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_episodio,id_episodio,sch_facturador,t_episodios_generales,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_especialidad,id_especialidad,sch_convenios,tm_especialidades,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_estado_proceso,id_estado_proceso,sch_facturador,tm_estados_proceso,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_orig_medi,id_origen_medicamentos,sch_convenios,tm_origen_medicamentos,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_plan,id_plan,sch_convenios,t_planes,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_prefactura,id_prefactura,sch_facturador,t_prefacturas,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_prestacion_episodio,id_prestacion_episodio,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_prestacion_episodio_padre,id_prestacion_episodio_padre,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_prestacion_referencia,id_prestacion_referencia,sch_facturador,t_prestaciones,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_prestador,id_prestador,sch_convenios,t_prestadores,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_tarifario,id_tarifario,sch_convenios,t_tarifarios,id,1
sch_facturador,t_procesamientos,fk_procesamientos_id_tipo_autorizacion_convenio_plan,id_tipo_autorizacion_convenio_plan,sch_facturador,tm_tipos_autorizaciones,id,1
